		AND		BOOL	CHAR	CHR		COM		COMMENT	DEQUAL	DIV		ELSE	EQUAL	EXIT	FALSE	FLOAT	FLT		FOR		GTHEN	IDVAR	IF		INT		INTEGER	LBB		LCB		LPAREN	LTHEN	MAIN	MINUS	MOD		MUL		NOT		OR		PLUS	PRINT	RBB		RCB		RETURN	RPAREN	SCOLON	STR		STRING	TRUE	VOID	WHILE	WITH	$end	andor	arrt	assign	bexp	bexp2	bval	dtype	dws		elsests	empty	exp		fact	factarr	fline	ifsts	line	nline	numexp	pline	rln		strvar	term	var		
71		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		-		-		46		-		-		-		-		-		97		-		-		-		-		-		-		-		-		-		-		40		
72		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		-		-		46		-		-		-		-		-		98		-		-		-		-		-		-		-		-		-		-		40		
73		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s99		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
74		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		r41		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
75		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		r42		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
76		-		-		-		-		-		-		-		-		-		s100	-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
77		r36		-		-		-		r36		-		r36		r36		-		r36		-		-		-		-		-		r36		-		-		-		-		-		-		-		r36		-		r36		r36		r36		r36		r36		r36		-		-		r36		-		r36		r36		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
78		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s101	-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
79		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s102	-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
80		-		r10		-		r10		-		-		-		-		-		-		r10		-		-		r10		r10		-		r10		r10		r10		-		-		-		-		-		-		-		-		-		-		-		-		r10		-		r10		r10		-		-		r10		-		-		-		r10		-		r10		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
81		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s103	-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
82		s85		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s86		-		-		-		-		-		-		s104	-		-		-		-		-		-		-		84		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
83		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s105	-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
84		-		-		s47		-		-		-		-		-		-		-		-		s49		s45		-		-		-		s7		-		-		s44		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		s48		-		-		-		-		-		-		-		-		106		46		-		-		-		-		65		43		-		-		-		-		-		-		-		-		-		42		40		
85		-		-		r51		-		-		-		-		-		-		-		-		r51		r51		-		-		-		r51		-		-		r51		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		r51		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
86		-		-		r52		-		-		-		-		-		-		-		-		r52		r52		-		-		-		r52		-		-		r52		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		r52		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		-		
